student_id,student_name,age,city
1,Student_1,21,Kolkata
2,Student_2,20,Kolkata
3,Student_3,23,Delhi
4,Student_4,24,Chennai
5,Student_5,25,Pune
6,Student_6,25,Pune
7,Student_7,22,Pune
8,Student_8,21,Mumbai
9,Student_9,22,Mumbai
10,Student_10,24,Mumbai
11,Student_11,21,Pune
12,Student_12,23,Hyderabad
13,Student_13,21,Kolkata
14,Student_14,25,Hyderabad
15,Student_15,21,Delhi
16,Student_16,20,Bangalore
17,Student_17,23,Kolkata
18,Student_18,24,Kolkata
19,Student_19,18,Bangalore
20,Student_20,25,Bangalore
21,Student_21,18,Delhi
22,Student_22,21,Chennai
23,Student_23,24,Kolkata
24,Student_24,20,Delhi
25,Student_25,18,Chennai
26,Student_26,18,Bangalore
27,Student_27,18,Chennai
28,Student_28,21,Delhi
29,Student_29,19,Bangalore
30,Student_30,20,Bangalore
31,Student_31,24,Mumbai
32,Student_32,25,Pune
33,Student_33,25,Mumbai
34,Student_34,23,Pune
35,Student_35,18,Delhi
36,Student_36,20,Pune
37,Student_37,25,Delhi
38,Student_38,18,Kolkata
39,Student_39,18,Mumbai
40,Student_40,19,Chennai
41,Student_41,22,Pune
42,Student_42,20,Chennai
43,Student_43,22,Delhi
44,Student_44,20,Mumbai
45,Student_45,21,Delhi
46,Student_46,22,Bangalore
47,Student_47,23,Bangalore
48,Student_48,23,Bangalore
49,Student_49,21,Delhi
50,Student_50,20,Pune
51,Student_51,20,Delhi
52,Student_52,18,Bangalore
53,Student_53,19,Bangalore
54,Student_54,24,Hyderabad
55,Student_55,25,Delhi
56,Student_56,19,Hyderabad
57,Student_57,25,Chennai
58,Student_58,23,Delhi
59,Student_59,24,Pune
60,Student_60,25,Kolkata
61,Student_61,18,Pune
62,Student_62,22,Delhi
63,Student_63,19,Bangalore
64,Student_64,23,Kolkata
65,Student_65,25,Delhi
66,Student_66,25,Delhi
67,Student_67,25,Kolkata
68,Student_68,21,Kolkata
69,Student_69,20,Delhi
70,Student_70,19,Mumbai
71,Student_71,24,Delhi
72,Student_72,23,Mumbai
